10
Mtr1Cmd,1,1,false,1,HoldingRegister,1
Mtr1Sts,2,2,false,1,HoldingRegister,2
Mtr1Trp,3,3,false,1,HoldingRegister,3
Mtr1Spd,4,4,false,1,HoldingRegister,4
Mtr1ActSpd,5,5,false,1,HoldingRegister,5
Mtr1Load,6,6,false,1,HoldingRegister,6
Mtr1Temp,7,7,false,1,HoldingRegister,7
Mtr1Flt,8,8,false,1,HoldingRegister,8
Mtr1RunTr,9,9,false,1,HoldingRegister,9
Mtr1Rst,10,10,false,1,HoldingRegister,10
Mtr1HOA,11,11,false,1,HoldingRegister,11
Mtr1Amps,12,12,false,1,HoldingRegister,12
Mtr2Cmd,1,1,false,2,HoldingRegister,1
Mtr2Sts,2,2,false,2,HoldingRegister,2
Mtr2Trp,3,3,false,2,HoldingRegister,3
Mtr2Spd,4,4,false,2,HoldingRegister,4
Mtr2ActSpd,5,5,false,2,HoldingRegister,5
Mtr2Load,6,6,false,2,HoldingRegister,6
Mtr2Temp,7,7,false,2,HoldingRegister,7
Mtr2Flt,8,8,false,2,HoldingRegister,8
Mtr2RunTr,9,9,false,2,HoldingRegister,9
Mtr2Rst,10,10,false,2,HoldingRegister,10
Mtr2HOA,11,11,false,2,HoldingRegister,11
Mtr2Amps,12,12,false,2,HoldingRegister,12
Mtr3Cmd,1,1,false,3,HoldingRegister,1
Mtr3Sts,2,2,false,3,HoldingRegister,2
Mtr3Trp,3,3,false,3,HoldingRegister,3
Mtr3Spd,4,4,false,3,HoldingRegister,4
Mtr3ActSpd,5,5,false,3,HoldingRegister,5
Mtr3Load,6,6,false,3,HoldingRegister,6
Mtr3Temp,7,7,false,3,HoldingRegister,7
Mtr3Flt,8,8,false,3,HoldingRegister,8
Mtr3RunTr,9,9,false,3,HoldingRegister,9
Mtr3Rst,10,10,false,3,HoldingRegister,10
Mtr3HOA,11,11,false,3,HoldingRegister,11
Mtr3Amps,12,12,false,3,HoldingRegister,12
Mtr4Cmd,1,1,false,4,HoldingRegister,1
Mtr4Sts,2,2,false,4,HoldingRegister,2
Mtr4Trp,3,3,false,4,HoldingRegister,3
Mtr4Spd,4,4,false,4,HoldingRegister,4
Mtr4ActSpd,5,5,false,4,HoldingRegister,5
Mtr4Load,6,6,false,4,HoldingRegister,6
Mtr4Temp,7,7,false,4,HoldingRegister,7
Mtr4Flt,8,8,false,4,HoldingRegister,8
Mtr4RunTr,9,9,false,4,HoldingRegister,9
Mtr4Rst,10,10,false,4,HoldingRegister,10
Mtr4HOA,11,11,false,4,HoldingRegister,11
Mtr4Amps,12,12,false,4,HoldingRegister,12
Mtr5Cmd,1,1,false,5,HoldingRegister,1
Mtr5Sts,2,2,false,5,HoldingRegister,2
Mtr5Trp,3,3,false,5,HoldingRegister,3
Mtr5Spd,4,4,false,5,HoldingRegister,4
Mtr5ActSpd,5,5,false,5,HoldingRegister,5
Mtr5Load,6,6,false,5,HoldingRegister,6
Mtr5Temp,7,7,false,5,HoldingRegister,7
Mtr5Flt,8,8,false,5,HoldingRegister,8
Mtr5RunTr,9,9,false,5,HoldingRegister,9
Mtr5Rst,10,10,false,5,HoldingRegister,10
Mtr5HOA,11,11,false,5,HoldingRegister,11
Mtr5Amps,12,12,false,5,HoldingRegister,12
